T56-A,Exact version not stated,"Saarlas, M., ""Aircraft Performance"", Wiley (2006), Figure D11 - D13, https://doi.org/10.1002/9780470117859.app4"
Tyne_RTy11,, PG., Peterson CR., ""Mechanics and Thermodynamics Of Propulsion"", Addison-Wesley 1965, Figure 6-27, https://archive.org/details/MechanicsAndThermodynamicsOfPropulsionHillPeterson/"
